system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,CEC,EVI,Evap_tavg,GNDVI,K_proxy,MSK_CLASSI_CIRRUS,MSK_CLASSI_OPAQUE,MSK_CLASSI_SNOW_ICE,MSK_CLDPRB,MSK_SNWPRB,N,NDVI,NDVI_class,NDWI,P_proxy,QA10,QA20,QA60,Rainf_tavg,SAVI,SCL,SOC,SoilMoi0_10cm_inst,TCI_B,TCI_G,TCI_R,Tair_f_inst,WVP,aspect,bulk_density,clay,elevation,latitude,longitude,pH,sand,silt,slope,.geo
1084_0,0.024305549,0.047157284,0.17395642,0.10656794,0.054791313,0.0824566,0.070155,0.12361032,0.22319762,0.25029534,0.2592288,0.272782,0.2782016,231,0.37242007513347775,2.517191E-5,0.51735365,332.8,0.0,0.0,0.0,0.0,0.0,1368,0.57402277,2,-0.51735365,221.8,0.0,0.0,0.0,2.5894518E-5,0.3419534973896272,4.0E-4,131,19.123722,0.005682744,0.008498928,0.0072263405,297.79352,0.17883925,180.0,144,367,259,30.54945702469463,76.25573868069588,78,245,389,0.057968166,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.25573868069588,30.54945702469463]}"
1085_0,0.023681002,0.04723444,0.1738317,0.10719971,0.054833803,0.08199305,0.07050646,0.122220084,0.21878196,0.2445463,0.25369003,0.26676098,0.27238828,198,0.36188690685230057,2.5688592E-5,0.51148534,313.9,0.0,0.0,0.0,0.0,0.0,1334,0.56503874,2,-0.51148534,215.1,0.0,0.0,0.0,2.6798043E-5,0.3333857416379872,4.0E-4,156,19.4991,0.0056926846,0.008447504,0.007259976,297.62015,0.17736623,310.72186,144,325,265,30.594372788900603,76.30963759774306,77,260,415,0.08885534,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.30963759774306,30.594372788900603]}"
1086_0,0.02271795,0.038806874,0.1665687,0.10131671,0.04621191,0.07132791,0.06376448,0.1085098,0.20634569,0.23439716,0.24489817,0.2560541,0.26157936,170,0.3535293331820043,2.6870031E-5,0.5488803,245.8,0.0,0.0,0.0,0.0,0.0,1309,0.58683383,2,-0.5488803,214.8,0.0,0.0,0.0,3.0285142E-5,0.33598748532111633,4.0E-4,199,20.472929,0.0048280177,0.0073602945,0.0066048834,296.5069,0.16104625,310.57233,145,271,262,31.101920924428136,76.18387345796633,76,442,288,0.08912591,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.18387345796633,31.101920924428136]}"
1087_0,0.022889609,0.04889479,0.1947186,0.1264488,0.06225052,0.09210978,0.0869856,0.13964847,0.22994474,0.25301284,0.2636338,0.27521965,0.28456104,174,0.3348987728183349,2.3776933E-5,0.48215634,286.1,0.0,0.0,0.0,4.474577E-5,0.0,1163,0.5038175,2,-0.48215634,175.0,0.0,0.0,0.0,2.3747818E-5,0.31150509841610713,4.4595118E-4,119,18.528383,0.006462182,0.009472854,0.008900485,298.28824,0.18546033,180.0,150,269,245,30.028434159905306,76.44887646678158,80,311,421,0.057968166,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.44887646678158,30.028434159905306]}"
1088_0,0.024643509,0.04494985,0.20239471,0.13399094,0.061501976,0.0921135,0.08949386,0.1436284,0.23956439,0.26592883,0.27614042,0.28799817,0.29606336,141,0.34517163035164655,2.1302973E-5,0.49972832,247.5,0.0,0.0,0.0,4.975225E-5,0.0,1227,0.5104734,2,-0.49972832,148.6,0.0,0.0,0.0,2.084898E-5,0.3234273900605841,4.5900964E-4,104,17.308783,0.006374837,0.009477637,0.009159309,298.7073,0.18373927,130.94586,149,228,233,29.817330068137217,76.2287892221723,83,393,380,0.08845429,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.2287892221723,29.817330068137217]}"
1089_0,0.023231694,0.039654844,0.1673436,0.101593114,0.04717667,0.07284226,0.06451742,0.11081881,0.21049264,0.23905367,0.24929473,0.26093113,0.26634595,178,0.3601688278191968,2.6463918E-5,0.547756,245.8,0.0,0.0,0.0,0.0,0.0,1219,0.58881503,2,-0.547756,185.79999999999998,0.0,0.0,0.0,2.934943E-5,0.3405773141466322,4.0E-4,163,20.147392,0.0049220393,0.007517204,0.0066802837,296.73825,0.16399446,-0.0,146,229,251,31.030055701698572,76.15692399944274,76,435,336,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.15692399944274,31.030055701698572]}"
1090_0,0.019836638,0.03778335,0.16621473,0.10204387,0.04378442,0.06638457,0.059787817,0.101364024,0.1864903,0.2111604,0.2224116,0.23183943,0.23799846,153,0.3245322111392389,2.8316637E-5,0.540267,274.9,0.0,0.0,0.0,0.0,0.0,2044,0.57627255,2,-0.540267,213.99999999999997,0.0,0.0,0.0,3.4277757E-5,0.3118586793932304,4.0E-4,224,21.845503,0.0045925835,0.0068416414,0.006184526,295.59503,0.14800972,74.08355,141,238,295,31.182769299998892,76.48031750172576,74,316,446,0.21138024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.48031750172576,31.182769299998892]}"
1091_0,0.022936488,0.041223884,0.16877703,0.10294337,0.04855342,0.07421001,0.065261245,0.11242275,0.20964919,0.23714194,0.24723347,0.25896493,0.26451147,210,0.35690616689743526,2.647457E-5,0.53827024,287.5,0.0,0.0,0.0,0.0,0.0,1305,0.582321,2,-0.53827024,207.2,0.0,0.0,0.0,2.931641E-5,0.3359509021056661,4.0E-4,166,20.184322,0.0050616013,0.0076540806,0.0067469496,296.81204,0.16516292,130.61986,145,274,254,30.94022417328662,76.2332807985929,77,344,383,0.08903966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.2332807985929,30.94022417328662]}"
1092_0,0.02899165,0.03772625,0.1973688,0.13082583,0.054750837,0.08427945,0.07958279,0.13603726,0.24799068,0.28221998,0.28975722,0.30398232,0.30560577,134,0.3873118859035638,1.841351E-5,0.54935193,231.7,0.0,0.0,0.0,1.1422576E-5,0.0,1474,0.56905407,2,-0.54935193,167.8,0.0,0.0,0.0,1.7797405E-5,0.36264481929813996,4.3580236E-4,123,15.860506,0.005650511,0.00869146,0.008188249,299.0686,0.17604747,130.92188,151,265,223,29.898178443707977,75.68980005170059,81,451,285,0.17699361,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.68980005170059,29.898178443707977]}"
1093_0,0.023328153,0.04793166,0.17427674,0.1081011,0.055544842,0.08251436,0.07134403,0.12229822,0.21669124,0.24133176,0.25052243,0.26339778,0.2691795,206,0.354949201377145,2.596959E-5,0.50447303,316.1,0.0,0.0,0.0,0.0,0.0,1500,0.5566855,2,-0.50447303,213.3,0.0,0.0,0.0,2.7157887E-5,0.32702101051545635,4.0E-4,145,19.688805,0.005768182,0.008497735,0.007341597,297.58643,0.17768206,310.72318,149,332,264,30.58988121248001,76.35455336194903,77,263,405,0.088853,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.35455336194903,30.58988121248001]}"
